epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1753.97,1.74807,1.40213,0.01284,0.4397,0.5027,0.39655,0.15444,2.02299,1.99463,0.01288,0.00144145,0.00144145,0.00144145
43,1802.96,1.69162,1.39007,0.01345,0.47682,0.41362,0.35431,0.15047,1.99355,2.16362,0.01262,0.00143595,0.00143595,0.00143595
44,1850.11,1.70498,1.37011,0.01233,0.41083,0.39525,0.32865,0.14181,2.00574,2.14941,0.0128,0.00143045,0.00143045,0.00143045
45,1898.62,1.7568,1.36235,0.01207,0.46399,0.42572,0.34235,0.14312,2.01218,2.05988,0.01308,0.00142495,0.00142495,0.00142495
46,1950.76,1.6819,1.34539,0.01246,0.44784,0.41618,0.32998,0.13867,1.97133,2.17307,0.01271,0.00141945,0.00141945,0.00141945
47,2009.55,1.65697,1.34753,0.01278,0.49555,0.43412,0.39141,0.15266,2.09253,2.22433,0.01352,0.00141395,0.00141395,0.00141395
48,2069.28,1.66985,1.33402,0.01251,0.49252,0.35976,0.33035,0.11622,2.17023,2.18207,0.01418,0.00140845,0.00140845,0.00140845
49,2123.78,1.71273,1.37604,0.01318,0.47667,0.41978,0.37718,0.15138,2.05964,2.10162,0.0128,0.00140295,0.00140295,0.00140295
50,2176.65,1.67579,1.37598,0.01246,0.47436,0.44898,0.35083,0.14015,2.07933,2.05769,0.0132,0.00139745,0.00139745,0.00139745
51,2221.75,1.66115,1.28949,0.0126,0.39729,0.4505,0.35593,0.13239,2.16911,2.06359,0.01434,0.00139195,0.00139195,0.00139195
52,2270.3,1.65284,1.31632,0.01244,0.45424,0.37685,0.33157,0.14716,1.99466,2.10436,0.01288,0.00138644,0.00138644,0.00138644
53,2314.78,1.63868,1.29806,0.01229,0.47443,0.42542,0.38391,0.15847,1.99832,2.1006,0.01261,0.00138094,0.00138094,0.00138094
54,2357.01,1.6055,1.34991,0.01227,0.35149,0.39843,0.2771,0.11692,2.08613,2.45655,0.01335,0.00137544,0.00137544,0.00137544
55,2404.61,1.64569,1.28364,0.01131,0.49719,0.39992,0.37417,0.15747,2.00211,2.14768,0.01315,0.00136994,0.00136994,0.00136994
56,2448.05,1.60233,1.21513,0.01117,0.51646,0.4277,0.38027,0.16948,1.9632,2.06169,0.01294,0.00136444,0.00136444,0.00136444
57,2492.06,1.64603,1.27177,0.01152,0.44926,0.38427,0.33773,0.14788,1.94647,2.22227,0.01237,0.00135894,0.00135894,0.00135894
58,2538.54,1.58109,1.22811,0.01103,0.53337,0.40058,0.38328,0.17341,1.93829,2.04111,0.01217,0.00135344,0.00135344,0.00135344
59,2586.34,1.55689,1.13969,0.01121,0.3927,0.3673,0.30423,0.12438,2.1114,2.30893,0.01378,0.00134794,0.00134794,0.00134794
60,2630.83,1.61584,1.2063,0.01163,0.41338,0.49414,0.37867,0.17302,1.99257,2.10356,0.0128,0.00134244,0.00134244,0.00134244
61,2676.36,1.64814,1.21443,0.01298,0.50827,0.42073,0.40185,0.17027,2.05374,2.20392,0.0136,0.00133693,0.00133693,0.00133693
62,2722.02,1.65775,1.30958,0.01431,0.42678,0.37931,0.30365,0.12649,1.99643,2.40907,0.01265,0.00133143,0.00133143,0.00133143
63,2768.64,1.56697,1.20307,0.0114,0.38286,0.3837,0.28006,0.1105,2.13872,2.36485,0.01409,0.00132593,0.00132593,0.00132593
64,2816.41,1.55961,1.24828,0.01176,0.42712,0.50055,0.38925,0.16266,1.99727,2.03405,0.01298,0.00132043,0.00132043,0.00132043
65,2861.94,1.589,1.20432,0.012,0.38978,0.49724,0.36819,0.14895,2.05217,2.1331,0.01357,0.00131493,0.00131493,0.00131493
66,2908.04,1.60447,1.1809,0.01159,0.41436,0.4313,0.33531,0.14123,2.00204,2.3177,0.01251,0.00130943,0.00130943,0.00130943
67,2951.94,1.60096,1.23241,0.01197,0.37524,0.45261,0.32367,0.13709,2.05347,2.1062,0.01327,0.00130393,0.00130393,0.00130393
68,2996.79,1.53756,1.19096,0.01213,0.46619,0.414,0.36326,0.15688,2.02721,2.25287,0.01319,0.00129843,0.00129843,0.00129843
69,3042.25,1.55975,1.20707,0.01145,0.48267,0.43057,0.3733,0.15526,2.03539,2.36404,0.01293,0.00129293,0.00129293,0.00129293
70,3087,1.57677,1.13028,0.01109,0.44759,0.42237,0.31168,0.13348,2.0333,2.30495,0.0126,0.00128742,0.00128742,0.00128742
